date,EUR,USD,PLN,TRY
2018-09-10,2634.8392,2275.6285,610.3545,352.4256
2018-09-11,2634.8392,2275.6285,611.4167,351.5322
2018-09-12,2638.6050,2275.9668,612.2195,357.6266
2018-09-13,2639.1033,2276.1658,612.3494,366.1963
2018-09-14,2657.9863,2276.3549,617.4328,371.8816
2018-09-15,2658.3748,2276.3947,617.5230,371.9359
2018-09-16,2658.3748,2276.3947,617.5230,371.9359
2018-09-17,2658.3748,2276.3947,618.8744,362.5122
2018-09-18,2658.3748,2276.3947,618.1117,354.1997
2018-09-19,2657.6472,2276.4544,618.7626,362.8881
2018-09-20,2662.2373,2276.4842,620.2067,358.2128
2018-09-21,2654.6916,2276.0663,618.1464,359.0575
2018-09-22,2671.7366,2276.3350,622.1154,361.3629
2018-09-23,2671.7366,2276.3350,622.1154,361.3629
2018-09-24,2671.7366,2276.3350,621.2041,365.5256
2018-09-25,2685.9972,2276.3648,625.6690,371.3891
2018-09-26,2685.9972,2276.4842,627.1884,373.9901
2018-09-27,2670.6732,2276.5937,624.2954,379.2762
2018-09-28,2670.6732,2276.5937,624.3684,383.4420
2018-09-29,2660.1881,2277.4594,621.9171,381.9366
2018-09-30,2638.4206,2277.0514,616.8281,378.8113
2018-10-01,2638.4206,2277.0514,616.5110,381.9370
2018-10-02,2638.4206,2277.0514,614.9161,380.0718
2018-10-03,2626.8635,2276.9817,611.5242,374.9555
2018-10-04,2625.7824,2277.0016,609.6405,372.3194
2018-10-05,2625.7824,2277.6982,610.0087,370.0213
2018-10-06,2625.3659,2277.4793,609.9119,369.9626
2018-10-07,2625.3659,2277.4793,609.9119,369.9626
2018-10-08,2625.3659,2277.4793,609.4023,372.7413
2018-10-09,2611.1543,2277.4793,605.0641,372.0494
2018-10-10,2611.1543,2277.6982,605.8925,373.6305
2018-10-11,2623.0568,2277.9867,607.6533,377.9566
2018-10-12,2623.0568,2278.1559,610.9225,385.6302
2018-10-13,2634.9174,2278.1559,613.6849,387.3739
2018-10-14,2632.7809,2278.5738,613.1873,387.0598
2018-10-15,2632.7809,2278.5738,613.1016,393.7752
2018-10-16,2644.2721,2279.1509,616.5242,394.2556
2018-10-17,2647.0034,2280.4246,616.4423,402.1701
2018-10-18,2628.9849,2279.8276,611.5483,409.5630
2018-10-19,2628.9849,2279.8276,611.1502,407.3167
2018-10-20,2612.5355,2279.2007,607.3263,404.7681
2018-10-21,2612.5355,2279.2007,607.3263,404.7681
2018-10-22,2612.5355,2279.2007,608.9117,401.3728
2018-10-23,2612.5355,2279.2007,608.1321,394.4819
2018-10-24,2615.5537,2278.7529,607.5195,402.4486
2018-10-25,2615.5537,2278.7529,606.9415,405.8520
2018-10-26,2595.7762,2278.7927,601.1942,405.9135
2018-10-27,2601.7454,2278.8325,602.5767,406.8469
2018-10-28,2587.3759,2278.9221,599.2487,404.5999
2018-10-29,2587.3759,2278.9221,599.1793,410.0112
2018-10-30,2594.6642,2279.6186,599.1327,414.3970
2018-10-31,2594.6642,2279.4793,597.9591,416.7800
2018-11-01,2583.2543,2279.4793,597.0220,408.4519
2018-11-02,2596.8543,2279.4395,601.0959,415.2376
2018-11-03,2596.8543,2279.4395,601.0959,415.2376
2018-11-04,2604.4660,2279.4196,602.8577,416.4547
2018-11-05,2604.4660,2279.4196,603.9201,421.5506
2018-11-06,2604.4660,2279.4296,604.4527,425.2467
2018-11-07,2591.5980,2279.4296,603.5394,422.3802
2018-11-08,2618.8147,2279.4893,610.2329,422.8942
2018-11-09,2604.4196,2279.4793,607.3740,418.3067
2018-11-10,2586.8822,2279.4793,603.2841,415.4900
2018-11-11,2586.8822,2279.2902,603.2841,415.4900
2018-11-12,2586.8822,2279.2902,602.0485,422.1276
2018-11-13,2568.8782,2279.1907,597.5247,415.2930
2018-11-14,2568.8782,2279.1907,598.6526,416.1812
2018-11-15,2566.0608,2279.3201,597.6896,420.3418
2018-11-16,2577.3971,2279.4694,597.2557,424.2350
2018-11-17,2595.2399,2278.8226,601.3903,427.1719
2018-11-18,2595.2399,2278.8226,601.3903,427.1719
2018-11-19,2595.2399,2278.8226,599.4595,427.3055
2018-11-20,2595.2399,2278.8226,601.0700,424.0380
2018-11-21,2606.3593,2279.2803,606.2006,428.0580
2018-11-22,2606.3593,2279.2803,606.0737,431.9742
